City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Upernavik,72.7868,-56.1549,26.82,97,99,4.56,GL,1620790040
Steamboat Springs,40.485,-106.8317,37.4,81,40,4.61,US,1620789941
Buturlinovka,50.8239,40.6092,46.17,77,94,11.86,RU,1620790041
Ternate,0.8,127.4,85.98,65,22,2.82,ID,1620790041
Busselton,-33.65,115.3333,63.0,70,94,4.0,AU,1620789756
Mnogovershinnyy,53.9353,139.9242,52.75,43,18,4.54,RU,1620790041
Honjō,36.2333,139.1833,68.0,48,100,1.99,JP,1620790042
Châtellerault,46.8,0.5333,46.99,93,0,6.91,FR,1620790042
Hobart,-42.8794,147.3294,57.0,67,40,10.36,AU,1620790042
Port Elizabeth,-33.918,25.5701,57.2,88,0,16.11,ZA,1620790042
Kobryn,52.2138,24.3564,49.95,91,31,8.77,BY,1620790043
Khovd,48.0056,91.6419,54.05,31,9,6.08,MN,1620790043
Lagoa,39.05,-27.9833,60.73,81,9,13.73,PT,1620790043
Naze,28.3667,129.4833,77.0,94,75,19.57,JP,1620790044
Rikitea,-23.1203,-134.9692,77.81,78,27,22.77,PF,1620790044
Castro,-24.7911,-50.0119,59.63,72,99,3.51,BR,1620790044
Ushuaia,-54.8,-68.3,53.6,50,40,9.22,AR,1620789890
Cabo San Lucas,22.8909,-109.9124,79.0,76,74,9.69,MX,1620789926
Bandarbeyla,9.4942,50.8122,81.19,64,100,14.9,SO,1620789916
Roebourne,-20.7833,117.1333,86.27,30,0,11.1,AU,1620790045
Port Alfred,-33.5906,26.891,59.74,86,11,10.85,ZA,1620790045
Narsaq,60.9167,-46.05,41.0,56,75,2.3,GL,1620790046
Puerto Ayora,-0.7393,-90.3518,75.99,94,29,5.01,EC,1620790046
Geraldton,-28.7667,114.6,77.0,65,13,8.05,AU,1620790046
Hamilton,39.1834,-84.5333,50.0,61,1,5.75,US,1620789903
Selma,36.5708,-119.6121,87.8,11,20,10.36,US,1620790047
Mitú,1.1983,-70.1733,71.24,99,100,1.54,CO,1620789804
New Norfolk,-42.7826,147.0587,55.99,70,5,1.01,AU,1620790047
Buenos Aires,-34.6132,-58.3772,52.0,66,0,1.14,AR,1620789978
Yantzaza,-3.8278,-78.7594,64.42,98,14,0.85,EC,1620790047
Jamestown,42.097,-79.2353,39.2,75,40,4.61,US,1620790048
Butaritari,3.0707,172.7902,82.65,74,100,10.56,KI,1620790048
Arraial do Cabo,-22.9661,-42.0278,69.57,82,9,7.56,BR,1620790048
Dikson,73.5069,80.5464,28.09,91,100,18.1,RU,1620790048
Tuktoyaktuk,69.4541,-133.0374,23.0,86,75,18.41,CA,1620790049
Caravelas,-17.7125,-39.2481,70.05,78,2,4.18,BR,1620790049
Half Moon Bay,37.4636,-122.4286,63.0,93,90,8.05,US,1620790049
Sistranda,63.7256,8.834,42.8,93,0,3.44,NO,1620790050
Carnarvon,-24.8667,113.6333,80.6,41,0,11.5,AU,1620790050
Manggar,-2.8833,108.2667,84.34,78,100,12.12,ID,1620790050
Sørland,67.667,12.6934,42.46,91,100,19.62,NO,1620790051
Avarua,-21.2078,-159.775,73.4,94,90,6.91,CK,1620790051
Vaini,-21.2,-175.2,77.0,73,20,11.5,TO,1620790051
Garissa,-0.4536,39.6401,76.82,67,97,13.58,KE,1620790051
Khatanga,71.9667,102.5,32.63,100,100,9.89,RU,1620790052
Kirksville,40.1948,-92.5833,50.0,61,1,5.75,US,1620789992
Tura,25.5198,90.2201,79.12,61,47,4.23,IN,1620790052
Mataura,-46.1927,168.8643,50.0,66,9,1.01,NZ,1620790052
San Andrés,12.5847,-81.7006,82.4,83,75,11.5,CO,1620790053
Vacaria,-28.5122,-50.9339,51.01,99,100,1.01,BR,1620790053
Haines Junction,60.7522,-137.5108,50.0,34,99,10.36,CA,1620790053
Alofi,-19.0595,-169.9187,78.8,78,75,6.91,NU,1620790054
Tuatapere,-46.1333,167.6833,50.0,66,9,1.01,NZ,1620790054
Gobabis,-22.45,18.9667,54.84,46,0,8.52,NA,1620790054
Caiapônia,-16.9567,-51.8103,62.62,54,44,2.55,BR,1620790054
Marsabit,2.3284,37.9899,63.32,87,100,5.82,KE,1620790055
Kīhei,20.785,-156.4656,78.8,57,40,21.85,US,1620790055
Nanortalik,60.1432,-45.2371,39.25,68,98,3.6,GL,1620790055
Listvyagi,53.6772,86.951,57.43,47,100,2.04,RU,1620790056
Ponta do Sol,32.6667,-17.1,57.0,71,40,4.0,PT,1620790056
Iquique,-20.2208,-70.1431,64.4,77,90,2.95,CL,1620790056
Neenah,44.1858,-88.4626,44.6,65,40,4.61,US,1620789882
Baruun-Urt,46.6806,113.2792,52.81,26,4,12.62,MN,1620790057
Hilo,19.7297,-155.09,80.6,57,40,6.91,US,1620789807
Marzuq,14.4,46.4667,77.47,39,90,5.12,YE,1620790057
Klaksvík,62.2266,-6.589,37.4,75,93,6.91,FO,1620790057
Saint-Philippe,-21.3585,55.7679,73.4,73,0,3.44,RE,1620790058
Lorengau,-2.0226,147.2712,77.02,93,100,7.0,PG,1620790058
Batagay,67.6333,134.6333,30.99,61,100,7.34,RU,1620790058
Ilulissat,69.2167,-51.1,30.2,93,90,3.53,GL,1620790059
Iqaluit,63.7506,-68.5145,30.0,86,75,6.91,CA,1620790059
Punta Arenas,-53.15,-70.9167,46.4,71,75,11.5,CL,1620790059
Mount Gambier,-37.8333,140.7667,59.0,58,0,6.91,AU,1620790060
